Text,QUALITY,PERFOMANCE,CUSTOMER#SERVICE,COST,RECOMMENDATIONS
আমি দারাজ থেকে এই পণ্য কিনে সন্তুষ্ট,2,2,1,2,2
কর্মক্ষমতা ভাল না,2,3,2,2,2
আমি দারাজ এর কাছে কৃতজ্ঞ।,2,2,1,2,2
এটা অবশ্যই খুব ভাল পণ্য,1,1,2,2,2
সম্পূর্ণ সন্তুষ্ট .... সত্যিই চিত্তাকর্ষক,1,1,1,2,2
১০০% জেনুইন পাওয়ার ব্যাংক,1,1,2,2,2
একদম হিট & ফিট,2,1,2,2,2
"খুব সুন্দর হয়েছে মোবাইলের সাথে,",1,2,2,2,2
অসাধারণ একটি কভার,1,2,2,2,2
কিসের টেম্পার সব ভুয়া,3,3,2,2,2
ভেরি গুড প্রডাক্ট এন্ড সার্ভিসিং,1,2,1,2,2
গুণমান খুব খারাপ,3,2,2,2,2
জাল পণ্য।,3,2,2,2,2
"প্রত্যাশিত ছিল,",2,2,2,2,2
তবে অভারঅল কেসিং পছন্দ হয়েছে।,1,1,2,2,2
আপনাকে অসংখ্য ধন্যবাদ।,2,2,1,2,2
আপনার টাকা নষ্ট করবেন না!,2,2,2,2,3
ফ্রেশ ছিলো দেখার বিষয় ফোনে লাগালে কেমন হয়,1,2,2,2,2
সবচেয়ে খারাপ মানের।,3,2,2,2,2
অসন্তোষজনক।,3,3,3,2,2
ভাল মানের.,1,2,2,2,2
পন্যটি অরিজিনাল।,1,2,2,2,2
এটা খুব আরামদায়ক।,1,1,2,2,2
ফ্যাব্রিক ভাল না।,3,2,2,2,2
কম দামে অস্থির ফোন।,2,1,2,1,2
অরজিনাল ফোন।,1,1,2,2,2
ভাল সার্ভিস পাচ্ছি।,2,2,1,2,2
আমি এই পণ্যের সাথে খুশি,2,2,1,2,2
তুলনামূলক কম দামে সেরা প্রোডাক্ট,2,1,2,1,2
"টাকা অপচয়, পুরোপুরি!",2,2,2,3,2
মান ভয়ানক ছিল!,1,2,2,2,2
আপনাদের এসব প্যাচানো সিস্টেম বাদ দিন।,2,2,3,2,2
সুন্দর চেহারা এবং আকর্ষণীয়।,1,1,2,2,2
